schooldbn,address,borough,zip,house_number,street_name,latitude,longitude,xCoordinate,yCoordinate,communityDistrict
24Q199,"39-20 48 Avenue, Queens, NY 11104",queens,11104,39-20,48 Avenue,40.740088,-73.926214,1004697,0208919,402
24Q211,"50-51 98Th Street, Queens, NY 11368",queens,11368,50-51,98Th Street,40.742167,-73.864109,1021906,0209697,404
24Q229,"67-25 51 Road, Queens, NY 11377",queens,11377,67-25,51 Road,40.734294,-73.897557,1012641,0206816,405
24Q239,"17-15 Weirfield Street, Queens, NY 11385",queens,11385,17-15,Weirfield Street,40.699149,-73.903799,1010925,0194010,405
24Q290,"55-20 Metropolitan Avenue, Queens, NY 11385",queens,11385,55-20,Metropolitan Avenue,40.713022,-73.908306,1009670,0199063,405
24Q305,"378 Seneca Avenue, Queens, NY 11385",queens,11385,378,Seneca Avenue,40.707121,-73.914998,1007817,0196911,405
24Q307,"40-20 100Th Street, Queens, NY 11368",queens,11368,40-20,100Th Street,40.748838,-73.865161,1021611,0212127,404
24Q330,"110-08 Northern Boulevard, Queens, NY 11368",queens,11368,110-08,Northern Boulevard,40.75788,-73.859201,1023257,0215424,403
24Q343,"45-45 42Nd Street, Queens, NY 11104",queens,11104,45-45,42Nd Street,40.742572,-73.922603,1005697,0209825,402
24QABC,"6802 Metropolitan Avenue, Middle Village, NY 11379",queens,11379,6802,Metropolitan Avenue,40.71227,-73.888666,1015115,0198795,405
24QADR,"62-22 61St Street, Ridgewood, NY 11385",queens,11385,62-22,61St Street,40.71212,-73.90193,1011438,0198736,405
24QAEN,"85-25 61 Road, Rego Park, NY 11374",queens,11374,85-25,61 Road,40.7277,-73.872145,1019687,0204423,405
24QAER,"84-05 78 Avenue, Queens, NY 11385",queens,11385,84-05,78 Avenue,40.705684,-73.864905,1021706,0196405,405
24QAES,"52-17 83 Street, Elmhurst, NY 11373",queens,11373,52-17,83 Street,40.73287,-73.883826,1016447,0206302,404
24QAFZ,"104-19 49 Avenue, Corona, NY 11368",queens,11368,104-19,49 Avenue,40.744482,-73.858608,1023429,0210543,404
24QAGR,"6117 Grand Avenue, Maspeth, NY 11378",queens,11378,6117,Grand Avenue,40.722,-73.904029,1010852,0202335,405
24QAGW,"95-15 HORACE HARDING EXPRESSWAY, QUEENS, NY 11368",queens,11368,95-15,HORACE HARDING EXPRESSWAY,40.734418,-73.864183,1021890,0206874,404
24QAKQ,"51-07 69Th Street, Woodside, NY 11377",queens,11377,51-07,69Th Street,40.734805,-73.896015,1013068,0207003,405
24QAKT,"100-05 39Th Avenue, Corona, NY 11368",queens,11368,100-05,39Th Avenue,40.749977,-73.865476,1021523,0212542,403
24QAMO,"5903 Summerfield Street, Ridgewood, NY 11385",queens,11385,5903,Summerfield Street,40.699463,-73.897855,1012573,0194126,405
24QANO,"57-27 Penrod Street, Queens, NY 11368",queens,11368,57-27,Penrod Street,40.739665,-73.85632,1024066,0208789,404
24QANR,"11112 Northern Boulevard, Corona, NY 11368",queens,11368,11112,Northern Boulevard,40.757931,-73.858371,1023487,0215443,403
24QANU,"8602 57Th Avenue, Jackson Heights, NY 11373",queens,11373,8602,57Th Avenue,40.732554,-73.876202,1018560,0206190,404
24QAPD,"6325 Dry Harbor Road, Middle Village, NY 11379",queens,11379,6325,Dry Harbor Road,40.721488,-73.873914,1019200,0202159,405
24QASB,"104-19 39Th Avenue, Corona, NY 11368",queens,11368,104-19,39Th Avenue,40.750796,-73.861656,1022581,0212842,403
24QAST,"66-20 Laurel Hill Boulevard, Woodside, NY 11377",queens,11377,66-20,Laurel Hill Boulevard,40.739748,-73.898266,1012442,0208803,402
24QASU,"3410 108Th Street, Corona, NY 11368",queens,11368,3410,108Th Street,40.75607,-73.860688,1022846,0214764,403
24QASV,"7714 Roosevelt Avenue, Jackson Heights, NY 11372",queens,11372,7714,Roosevelt Avenue,40.74715,-73.888453,1015158,0211503,404
24QASW,"3703 94Th Street, Jackson Heights, NY 11372",queens,11372,3703,94Th Street,40.750447,-73.873054,1019423,0212710,403
24QASX,"4126 Case Street, Forest Hills, NY 11376",queens,11376,4126,Case Street,40.746865,-73.873573,1019281,0211405,404
